POI,Lon,Lat
city_center,-3.70379,40.41659
metro,-3.645225284,40.3897687
metro,-3.703317807,40.45033105
metro,-3.699375742,40.41246303
metro,-3.692490884,40.40884679
metro,-3.676377276,40.47680706
metro,-3.702188296,40.42904964
metro,-3.65391434,40.39155775
metro,-3.618850584,40.37238111
metro,-3.703978477,40.44696668
metro,-3.703028749,40.45427875
metro,-3.701811364,40.42000686
metro,-3.698983453,40.43491591
metro,-3.613471104,40.37018451
metro,-3.599533888,40.36322146
metro,-3.680990946,40.4044466
metro,-3.639511225,40.38731393
metro,-3.664145352,40.39553551
metro,-3.675137364,40.40125568
metro,-3.666807044,40.48013292
metro,-3.689182341,40.46689362
metro,-3.658685211,40.3926568
metro,-3.669061703,40.39819187
metro,-3.701332287,40.44197376
metro,-3.624724517,40.38216046
metro,-3.698258342,40.46055089
metro,-3.704666475,40.41234081
metro,-3.70110929,40.42618231
metro,-3.695066467,40.46441696
metro,-3.593169837,40.36006503
metro,-3.621308016,40.37959325
metro,-3.783925419,40.38363227
metro,-3.753116583,40.40785518
metro,-3.6858519,40.48040886
metro,-3.774618016,40.39697435
metro,-3.79152548,40.37769758
metro,-3.68986238,40.45842113
metro,-3.69283384,40.49507881
metro,-3.807202279,40.34984122
metro,-3.735637717,40.41640918
metro,-3.709704711,40.42408481
metro,-3.6904035,40.4521354
metro,-3.695209949,40.50119961
metro,-3.635133826,40.55441859
metro,-3.611465759,40.5597624
metro,-3.658599532,40.52759393
metro,-3.635571004,40.53194807
metro,-3.669446787,40.50832463
metro,-3.646883387,40.55047959
metro,-3.637392615,40.54101898
metro,-3.695759278,40.50525032
metro,-3.623403334,40.55037444
metro,-3.6626495,40.5155342
metro,-3.727911159,40.38082724
metro,-3.751916264,40.37199789
metro,-3.77783378,40.35795246
metro,-3.756906024,40.36421751
metro,-3.734171678,40.37585969
metro,-3.739106223,40.373594
metro,-3.831780169,40.35008149
metro,-3.736641504,40.30080675
metro,-3.75682805,40.28873925
metro,-3.759428417,40.32659685
metro,-3.745771718,40.29324358
metro,-3.729638477,40.32906791
metro,-3.740186134,40.33663166
metro,-3.70985858,40.31862322
metro,-3.798909369,40.28267241
metro,-3.73403382,40.30992262
metro,-3.816427066,40.28574839
metro,-3.874715029,40.31652112
metro,-3.76797843,40.32176555
metro,-3.72225015,40.31179863
metro,-3.752668025,40.33474027
metro,-3.771544564,40.32897617
metro,-3.837691908,40.29680382
metro,-3.718203882,40.32422047
metro,-3.86402699,40.30902476
metro,-3.863545433,40.3284971
metro,-3.786982308,40.28683533
metro,-3.806326586,40.28517056
metro,-3.821201089,40.3496796
metro,-3.849343411,40.34589074
metro,-3.86489449,40.32167612
metro,-3.812495254,40.34542573
metro,-3.775876337,40.33615451
metro,-3.872188547,40.33511701
metro,-3.623514403,40.41828444
metro,-3.612070828,40.42239066
metro,-3.694966495,40.41921937
metro,-3.704337221,40.43840594
metro,-3.675912376,40.42453957
metro,-3.639147584,40.42361352
metro,-3.650528497,40.42661312
metro,-3.603312655,40.42374301
metro,-3.669261728,40.42790259
metro,-3.70742568,40.42483752
metro,-3.709429507,40.41808648
metro,-3.680128256,40.42293826
metro,-3.704342022,40.43321672
metro,-3.6858256,40.4207967
metro,-3.707966343,40.42131168
metro,-3.699256778,40.41804936
metro,-3.66366769,40.43088079
metro,-3.697892329,40.38409341
metro,-3.715975032,40.43065877
metro,-3.705667145,40.42012753
metro,-3.693635291,40.3595782
metro,-3.702681993,40.40511862
metro,-3.695855105,40.37502451
metro,-3.700914056,40.40850775
metro,-3.695125551,40.39114618
metro,-3.719452174,40.43501556
metro,-3.694234726,40.40307054
metro,-3.711206486,40.42340891
metro,-3.693191433,40.34153554
metro,-3.694177839,40.36998949
metro,-3.713414286,40.42708
metro,-3.711990993,40.34122314
metro,-3.692651332,40.35089027
metro,-3.667918653,40.44824372
metro,-3.715962574,40.43059578
metro,-3.656188123,40.45582441
metro,-3.676648794,40.43803078
metro,-3.661189836,40.45353465
metro,-3.63560058,40.4638043
metro,-3.691010383,40.42541428
metro,-3.674964502,40.43467125
metro,-3.645820621,40.45944135
metro,-3.652579637,40.4753673
metro,-3.675416373,40.4291641
metro,-3.662905159,40.47686709
metro,-3.638331255,40.46941987
metro,-3.645246662,40.47711117
metro,-3.674823829,40.4441856
metro,-3.70568424,40.42965898
metro,-3.63958235,40.47446699
metro,-3.686637032,40.42543132
metro,-3.682919601,40.42502992
metro,-3.706652231,40.40386919
metro,-3.587529851,40.45778837
metro,-3.6956252,40.4277594
metro,-3.760809653,40.38562452
metro,-3.768135975,40.39480136
metro,-3.608164957,40.44942038
metro,-3.74488166,40.38781832
metro,-3.761019687,40.40323585
metro,-3.6976645,40.4226137
metro,-3.63816409,40.43804243
metro,-3.6749023,40.4324163
metro,-3.594013968,40.45346694
metro,-3.657582365,40.43188854
metro,-3.765354359,40.39056753
metro,-3.751217472,40.38438092
metro,-3.708167578,40.41127437
metro,-3.715963813,40.39735241
metro,-3.682585355,40.43277966
metro,-3.731327676,40.3884634
metro,-3.642834404,40.43569222
metro,-3.711057634,40.40703139
metro,-3.647365166,40.43357684
metro,-3.689545126,40.43315277
metro,-3.626847447,40.44084309
metro,-3.61700473,40.44374289
metro,-3.72361563,40.39334979
metro,-3.739826645,40.38884177
metro,-3.738937772,40.40991964
metro,-3.688641465,40.3930949
metro,-3.741000003,40.39269915
metro,-3.726795069,40.44355521
metro,-3.670409623,40.40696791
metro,-3.6732863,40.4332301
metro,-3.712297358,40.44635716
metro,-3.744300361,40.39922754
metro,-3.695054953,40.39115561
metro,-3.745343133,40.40509473
metro,-3.7180913,40.4465771
metro,-3.668599051,40.42288839
metro,-3.723134262,40.38690231
metro,-3.673860948,40.40206493
metro,-3.718373526,40.38459863
metro,-3.727241956,40.41389472
metro,-3.684064546,40.44378894
metro,-3.669523456,40.41506319
metro,-3.706901007,40.38709277
metro,-3.699255079,40.43837373
metro,-3.717704366,40.47021552
metro,-3.641060838,40.43019755
metro,-3.718411259,40.48009394
metro,-3.652004711,40.43909132
metro,-3.672157755,40.43933626
metro,-3.600156646,40.43339012
metro,-3.712392392,40.45647367
metro,-3.633310367,40.42842044
metro,-3.691495499,40.43824923
metro,-3.713741354,40.43905997
metro,-3.7230534,40.4850272
metro,-3.60788713,40.43298035
metro,-3.662973684,40.43944335
metro,-3.715830358,40.47592079
metro,-3.725899507,40.49510107
metro,-3.615469606,40.42798526
metro,-3.625725983,40.42798426
metro,-3.715983795,40.46482081
metro,-3.569198792,40.42249256
metro,-3.561193228,40.42372991
metro,-3.527184756,40.4177638
metro,-3.5345387,40.41760391
metro,-3.525504192,40.42295168
metro,-3.547931164,40.42514488
metro,-3.535417765,40.42441071
metro,-3.569541068,40.46864417
metro,-3.593254085,40.49175904
