LOCATIONID,LOCATIONNAME,ZONELEVELID,geometry
0-EU-ES-46-02-002-250-11-004,Beteró,8,-0.333456|-0.335556|-0.335866|-0.336123|-0.336581|-0.337004|-0.337438|-0.337421|-0.33791|-0.338277|-0.33886|-0.339142|-0.339865|-0.33934|-0.338738|-0.338616|-0.337431|-0.334876|-0.33475|-0.33448|-0.334313|-0.334218|-0.334075|-0.333807|-0.333688|-0.333545|-0.333456|39.476074|39.476692|39.476096|39.475536|39.474597|39.473733|39.472898|39.472516|39.471552|39.470825|39.471012|39.470407|39.468977|39.468812|39.468617|39.468834|39.468704|39.468501|39.469593|39.470875|39.471697|39.472206|39.47293|39.474303|39.47488|39.475622|39.476074
0-EU-ES-46-02-002-250-08-005,Barrio de Favara,8,-0.390337|-0.390415|-0.390578|-0.391029|-0.391618|-0.394768|-0.395785|-0.396313|-0.396939|-0.397244|-0.398314|-0.397385|-0.398394|-0.397176|-0.395516|-0.394873|-0.394134|-0.393145|-0.391138|-0.390337|39.45647|39.456469|39.456464|39.456447|39.456426|39.456246|39.456095|39.455886|39.455573|39.455442|39.454631|39.454027|39.452519|39.451555|39.450262|39.449765|39.450802|39.452235|39.455264|39.45647
0-EU-ES-46-02-002-250-12-002,Albors,8,-0.352428|-0.352568|-0.352792|-0.353199|-0.353637|-0.354398|-0.354867|-0.355439|-0.355837|-0.356614|-0.3562|-0.354324|-0.352146|-0.351294|-0.351061|-0.350382|-0.349865|-0.348814|-0.348382|-0.349479|-0.350355|-0.350766|-0.351599|-0.352428|39.470925|39.470965|39.471034|39.471158|39.471291|39.471519|39.4706|39.46949|39.468723|39.467015|39.466894|39.466346|39.46576|39.465523|39.466094|39.467767|39.469049|39.468758|39.469726|39.470048|39.470308|39.470431|39.470687|39.470925
0-EU-ES-46-02-002-250-15-001,Els Orriols,8,-0.368486|-0.369151|-0.368443|-0.368021|-0.367242|-0.368|-0.368652|-0.36736|-0.366697|-0.366546|-0.366258|-0.368182|-0.36756|-0.369215|-0.368325|-0.369104|-0.36973|-0.369619|-0.369284|-0.368584|-0.368249|-0.367701|-0.367344|-0.36688|-0.367352|-0.36776|-0.367943|-0.368424|-0.368843|-0.369484|-0.369802|-0.369833|-0.370474|-0.370686|-0.370651|-0.371068|-0.371844|-0.370788|-0.371013|-0.370234|-0.371051|-0.371564|-0.371973|-0.372414|-0.372572|-0.372719|-0.372894|-0.373218|-0.37374|-0.374001|-0.373636|-0.371737|-0.371128|-0.370225|-0.368402|-0.367149|-0.369094|-0.368908|-0.368058|-0.368486|39.491375|39.491842|39.492413|39.492762|39.493353|39.493907|39.494355|39.495525|39.495005|39.494991|39.495196|39.496652|39.49728|39.497781|39.499873|39.500049|39.500202|39.50047|39.501087|39.501855|39.501831|39.503319|39.503407|39.504106|39.504308|39.50442|39.504079|39.502801|39.501833|39.500985|39.500574|39.500467|39.500621|39.499942|39.499257|39.498638|39.497035|39.496795|39.496319|39.49602|39.494916|39.495201|39.49464|39.494287|39.494241|39.494125|39.493824|39.493278|39.492395|39.491967|39.491893|39.490446|39.489985|39.489317|39.487972|39.488671|39.490146|39.490321|39.491049|39.491375
0-EU-ES-46-02-002-250-10-001,Mont-Olivet,8,-0.363276|-0.362828|-0.362304|-0.362011|-0.361409|-0.360162|-0.359252|-0.358184|-0.357205|-0.356754|-0.357912|-0.358008|-0.358113|-0.358433|-0.358547|-0.358956|-0.359368|-0.359713|-0.359839|-0.359937|-0.360016|-0.360944|-0.362527|-0.364107|-0.365607|-0.36931|-0.366687|-0.364038|-0.363276|39.456658|39.456846|39.45707|39.457194|39.457432|39.457996|39.458375|39.458821|39.459373|39.459596|39.460036|39.460138|39.460274|39.460688|39.460833|39.461353|39.461875|39.462332|39.462733|39.463071|39.463342|39.463187|39.462546|39.46189|39.461258|39.459681|39.4552|39.456333|39.456658
0-EU-ES-46-02-002-250-16-002,Ciutat Fallera,8,-0.397628|-0.397013|-0.396652|-0.39623|-0.39438|-0.393912|-0.393314|-0.393006|-0.392726|-0.392434|-0.391969|-0.391371|-0.391103|-0.388906|-0.38864|-0.389768|-0.39214|-0.392968|-0.394235|-0.39565|-0.396963|-0.399063|-0.401521|-0.401153|-0.40022|-0.39883|-0.397628|39.495439|39.495825|39.495496|39.495753|39.496861|39.497113|39.497461|39.49764|39.497803|39.497972|39.498243|39.498591|39.498747|39.50009|39.500252|39.50134|39.503087|39.503043|39.503062|39.502235|39.501393|39.500257|39.498913|39.498576|39.497747|39.496533|39.495439
0-EU-ES-46-02-002-250-13-001,L'Illa Perduda,8,-0.335384|-0.33518|-0.335092|-0.334999|-0.334876|-0.335886|-0.337431|-0.338616|-0.338738|-0.339865|-0.339336|-0.339153|-0.339015|-0.338861|-0.339633|-0.340427|-0.340719|-0.340936|-0.341271|-0.341446|-0.341764|-0.342081|-0.342286|-0.342386|-0.342934|-0.343877|-0.343736|-0.343527|-0.343326|-0.342282|-0.34018|-0.338467|-0.337026|-0.335384|39.46597|39.466915|39.467228|39.467793|39.468501|39.468581|39.468704|39.468834|39.468617|39.468977|39.470022|39.470385|39.470681|39.471013|39.471235|39.471461|39.471545|39.471615|39.471719|39.471757|39.471854|39.471964|39.472024|39.47183|39.470687|39.468749|39.468706|39.468455|39.468275|39.467984|39.46738|39.46687|39.466451|39.46597
0-EU-ES-46-02-002-250-10-002,En Corts,8,-0.36931|-0.370431|-0.372094|-0.375033|-0.375329|-0.375763|-0.372778|-0.371635|-0.371119|-0.371502|-0.36974|-0.367224|-0.366687|-0.36931|39.459681|39.459215|39.458507|39.457244|39.457113|39.456918|39.452671|39.451006|39.452419|39.453189|39.453924|39.454975|39.4552|39.459681
0-EU-ES-46-02-002-250-14-001,Benimaclet,8,-0.3701|-0.369576|-0.36925|-0.36875|-0.368605|-0.366544|-0.365386|-0.364642|-0.364014|-0.36348|-0.363584|-0.363053|-0.362333|-0.362564|-0.362818|-0.361691|-0.360441|-0.359481|-0.358342|-0.357084|-0.356307|-0.355969|-0.355496|-0.354769|-0.35473|-0.354666|-0.354578|-0.354561|-0.35434|-0.35413|-0.353929|-0.35389|-0.353789|-0.353567|-0.353275|-0.353194|-0.352984|-0.352703|-0.351968|-0.351453|-0.352183|-0.353547|-0.354378|-0.354346|-0.354196|-0.354077|-0.354845|-0.354748|-0.354605|-0.355259|-0.355626|-0.35642|-0.356268|-0.356265|-0.356386|-0.356765|-0.356958|-0.35761|-0.357583|-0.358803|-0.359287|-0.359193|-0.359015|-0.360106|-0.360267|-0.36043|-0.360505|-0.361075|-0.361615|-0.361884|-0.36231|-0.362529|-0.362814|-0.363045|-0.362804|-0.362955|-0.363349|-0.363985|-0.364177|-0.364628|-0.36484|-0.364998|-0.365342|-0.366107|-0.365767|-0.365451|-0.3653|-0.365025|-0.364892|-0.364742|-0.365144|-0.365388|-0.365555|-0.365804|-0.366018|-0.366487|-0.366825|-0.367149|-0.368402|-0.369736|-0.369794|-0.3701|39.486328|39.486169|39.486288|39.486226|39.486558|39.486002|39.48569|39.486232|39.485726|39.485303|39.48513|39.484991|39.484807|39.484315|39.483774|39.482974|39.482085|39.481389|39.480531|39.479599|39.47902|39.478765|39.47842|39.478169|39.47825|39.478385|39.478567|39.478598|39.478993|39.479371|39.479573|39.479613|39.47971|39.479924|39.480205|39.480288|39.480504|39.480768|39.481228|39.481534|39.481755|39.482178|39.482438|39.48265|39.483624|39.484393|39.484468|39.485004|39.48579|39.485847|39.48588|39.485953|39.486843|39.486911|39.486986|39.48701|39.487023|39.48707|39.487224|39.487398|39.487467|39.487945|39.488859|39.489005|39.489026|39.488699|39.488511|39.488535|39.488556|39.488568|39.488587|39.488377|39.488156|39.487977|39.48779|39.487689|39.487373|39.486862|39.487011|39.487338|39.487493|39.48761|39.487876|39.488446|39.488541|39.488722|39.4888|39.489003|39.489106|39.489223|39.489495|39.489685|39.48959|39.489443|39.489318|39.489051|39.488856|39.48867|39.487972|39.486964|39.486872|39.486328
0-EU-ES-46-02-002-250-04-006,Nou Campanar,8,-0.41027|-0.413179|-0.41231|-0.412279|-0.411839|-0.411332|-0.410319|-0.410177|-0.410179|-0.410075|-0.408799|-0.40792|-0.407341|-0.406665|-0.406055|-0.405909|-0.405241|-0.404168|-0.403444|-0.403259|-0.402966|-0.402232|-0.401033|-0.399846|-0.399438|-0.399203|-0.399727|-0.400032|-0.399332|-0.398599|-0.401165|-0.401661|-0.402721|-0.403986|-0.404601|-0.406554|-0.406732|-0.40732|-0.41027|39.481433|39.478991|39.478099|39.477802|39.477115|39.476232|39.475859|39.475679|39.475081|39.474822|39.474039|39.474039|39.474123|39.474221|39.474313|39.474387|39.474743|39.474939|39.475071|39.475105|39.475152|39.475271|39.475463|39.475655|39.475721|39.475771|39.477316|39.478359|39.47856|39.478875|39.482566|39.483319|39.482912|39.482358|39.483237|39.482387|39.481899|39.480968|39.481433
