LOCATIONID,LOCATIONNAME,ZONELEVELID,geometry
0-EU-ES-08-13-001-019-07-006,El Baix Guinardó,8,2.169316|2.169399|2.167992|2.167305|2.166815|2.166228|2.165648|2.164267|2.162931|2.161558|2.16129|2.161557|2.162072|2.162159|2.162244|2.163259|2.163735|2.163886|2.164182|2.168639|2.169626|2.170563|2.172948|2.174341|2.17303|2.171317|2.170016|2.169512|2.169316|41.415239|41.41558|41.415756|41.415435|41.415202|41.414922|41.414875|41.414632|41.414312|41.41376|41.413617|41.413292|41.412658|41.41256|41.412461|41.411225|41.410762|41.410614|41.41033|41.406926|41.40764|41.408359|41.410147|41.411187|41.412184|41.413494|41.414475|41.414864|41.415239
0-EU-ES-08-13-001-019-07-007,El Carmel,8,2.158557|2.158365|2.158318|2.158181|2.157851|2.157764|2.157418|2.156996|2.156663|2.155999|2.154894|2.15432|2.152975|2.152282|2.151886|2.151425|2.151037|2.150592|2.151051|2.151799|2.151723|2.152607|2.152428|2.151858|2.151552|2.15117|2.151061|2.151016|2.15099|2.150814|2.150674|2.150426|2.149514|2.149242|2.150878|2.151742|2.151718|2.151697|2.151667|2.151571|2.151454|2.151182|2.15109|2.150974|2.150975|2.150995|2.151256|2.151475|2.15176|2.151914|2.151944|2.152694|2.152894|2.15343|2.153932|2.154634|2.154827|2.155203|2.155696|2.156071|2.15615|2.15634|2.156536|2.156562|2.156363|2.156366|2.156517|2.156982|2.157327|2.158538|2.158651|2.158865|2.158969|2.159052|2.159129|2.159175|2.15913|2.15899|2.15887|2.158778|2.158827|2.159488|2.159745|2.16015|2.160672|2.160911|2.161077|2.161345|2.161079|2.161291|2.161722|2.162485|2.163054|2.163323|2.163669|2.164386|2.165079|2.165299|2.164826|2.16414|2.163867|2.163628|2.163335|2.163235|2.163046|2.162625|2.16226|2.159631|2.159244|2.159182|2.159031|2.158458|2.158166|2.159036|2.158774|2.15853|2.158557|41.424685|41.425298|41.425532|41.426285|41.428137|41.428541|41.429191|41.429061|41.428959|41.428724|41.428183|41.427805|41.427171|41.426871|41.426512|41.426321|41.426203|41.42607|41.42609|41.425993|41.425209|41.425133|41.425029|41.424753|41.424462|41.424023|41.423584|41.423303|41.422446|41.422149|41.421962|41.421638|41.420727|41.420357|41.42024|41.420177|41.419889|41.419679|41.419366|41.419107|41.418835|41.418438|41.418273|41.418058|41.417937|41.417833|41.417515|41.417305|41.417162|41.416926|41.416926|41.416876|41.416693|41.416253|41.41583|41.415233|41.415125|41.415663|41.415858|41.416005|41.416114|41.416382|41.416719|41.416903|41.417263|41.417421|41.417637|41.417835|41.417801|41.416943|41.416809|41.416525|41.416504|41.416517|41.416571|41.416666|41.41676|41.416826|41.416875|41.416943|41.417027|41.417638|41.41781|41.417797|41.417559|41.417444|41.417433|41.417483|41.41818|41.418244|41.418693|41.420077|41.419924|41.419911|41.419959|41.420011|41.420031|41.420643|41.420837|41.420921|41.420956|41.421183|41.421046|41.421167|41.421628|41.421574|41.422433|41.421948|41.421444|41.421365|41.421362|41.421696|41.423038|41.423246|41.423815|41.424299|41.424685
0-EU-ES-08-13-001-019-08-002,Les Roquetes,8,2.167978|2.168779|2.169062|2.16951|2.170137|2.170836|2.171118|2.171661|2.176667|2.177573|2.179751|2.180171|2.180284|2.179574|2.180068|2.180348|2.181202|2.183164|2.183175|2.184111|2.184469|2.183309|2.18255|2.181812|2.181312|2.180755|2.179958|2.179419|2.17909|2.178329|2.176907|2.1766|2.17618|2.175816|2.174629|2.173594|2.172544|2.172323|2.171684|2.17145|2.171031|2.170186|2.169692|2.169323|2.168568|2.16758|2.16798|2.167978|41.447592|41.447091|41.446563|41.445781|41.444645|41.444882|41.444392|41.443483|41.445369|41.445606|41.446124|41.446842|41.447205|41.447953|41.449568|41.450266|41.450915|41.452468|41.453019|41.45369|41.454478|41.453729|41.453467|41.452877|41.452728|41.453024|41.453647|41.45324|41.45195|41.451318|41.451387|41.451149|41.450583|41.450434|41.4505|41.449914|41.449269|41.449274|41.449542|41.449516|41.449239|41.448718|41.448654|41.448802|41.449578|41.449218|41.447988|41.447592
0-EU-ES-08-13-001-019-08-003,La Trinitat Nova,8,2.190409|2.188706|2.187044|2.185349|2.184469|2.184118|2.183179|2.183167|2.181624|2.180363|2.180073|2.179574|2.180284|2.180171|2.179751|2.181974|2.184991|2.187683|2.188463|2.188716|2.189036|2.188866|2.190409|41.455189|41.456102|41.455466|41.454814|41.454478|41.453689|41.453013|41.452462|41.451242|41.450264|41.449563|41.447953|41.447205|41.446842|41.446124|41.446479|41.446681|41.446944|41.44918|41.449902|41.451693|41.453389|41.455189
0-EU-ES-08-13-001-019-10-001,El Camp de l'Arpa del Clot,8,2.186899|2.186952|2.183387|2.17918|2.175459|2.176327|2.177715|2.179867|2.181103|2.183323|2.185734|2.186875|2.186899|41.411748|41.415241|41.417947|41.414856|41.412049|41.411377|41.410321|41.40869|41.407743|41.406036|41.407799|41.40867|41.411748
0-EU-ES-08-13-001-019-10-004,El Besòs,8,2.212165|2.210702|2.209628|2.208157|2.209693|2.207298|2.214048|2.215761|2.219059|2.228582|2.23853|2.227892|2.221333|2.220436|2.219344|2.21818|2.217734|2.215249|2.213108|2.212165|41.422251|41.42119|41.42037|41.419233|41.418333|41.415291|41.410113|41.410484|41.411328|41.404182|41.412252|41.412638|41.4134|41.414173|41.415661|41.417229|41.417033|41.419326|41.421182|41.422251
0-EU-ES-08-13-001-019-10-007,Provençals del Poblenou,8,2.208155|2.205073|2.202533|2.197126|2.194851|2.191501|2.192617|2.193782|2.203987|2.207567|2.209885|2.211027|2.211879|2.211675|2.207295|2.209692|2.208155|41.419234|41.416933|41.41501|41.411012|41.409305|41.406784|41.405915|41.405037|41.407614|41.408518|41.410274|41.41114|41.411778|41.411939|41.415292|41.418335|41.419234
0-EU-ES-08-13-001-019-10-009,Diagonal Mar i el Front Marítim del Poblenou,8,2.22602|2.219054|2.215785|2.214047|2.211875|2.207568|2.20398|2.21023|2.207056|2.207366|2.208661|2.210788|2.213588|2.22602|41.406091|41.411318|41.41048|41.410105|41.411779|41.408517|41.407615|41.402722|41.400304|41.400063|41.39912|41.397557|41.396108|41.406091
0-EU-ES-08-13-001-019-01-004,El Raval,8,2.169821|2.168683|2.167523|2.164729|2.163982|2.16362|2.163365|2.163283|2.163072|2.165198|2.167553|2.167527|2.174812|2.175441|2.175402|2.176119|2.17669|2.181999|2.183318|2.1817|2.179564|2.178152|2.177367|2.176348|2.176578|2.17702|2.177157|2.177237|2.177804|2.177172|2.176366|2.175493|2.175055|2.172567|2.171767|2.169821|41.385544|41.385614|41.385686|41.385952|41.385302|41.382879|41.380965|41.38035|41.378769|41.377087|41.375223|41.374961|41.374675|41.374568|41.37384|41.373316|41.372312|41.369745|41.371797|41.37242|41.37327|41.373848|41.373673|41.374181|41.374451|41.37496|41.375118|41.375204|41.375801|41.376366|41.377294|41.378618|41.379114|41.381931|41.382923|41.385544
0-EU-ES-08-13-001-019-02-005,La Sagrada Família,8,2.17546|2.174331|2.172975|2.172127|2.170833|2.169654|2.168637|2.169883|2.170767|2.172026|2.169754|2.173251|2.179559|2.186456|2.18624|2.183323|2.182983|2.176213|2.17546|41.41205|41.411185|41.410167|41.409532|41.408561|41.407661|41.406928|41.405999|41.40533|41.40439|41.402692|41.399991|41.401561|41.403361|41.403891|41.406041|41.406315|41.411466|41.41205
